dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2020-08-22 00:00:12.296102,30,6426804,9805196,21.42,32.68,20211.16,31131.70,51342.86
2020-08-22 00:00:42.299226,30,1042604,3192052,3.48,10.64,1808.08,4620.29,6428.37
2020-08-22 00:01:12.302529,30,4782104,7897516,15.94,26.33,11779.43,19344.61,31124.04
2020-08-22 00:01:42.305976,30,6012760,9504600,20.04,31.68,17752.53,29889.35,47641.88
2020-08-22 00:02:12.309190,30,5222112,8751588,17.41,29.17,13702.72,25541.48,39244.20
2020-08-22 00:02:42.327752,30,2620456,4931036,8.73,16.44,4985.91,7419.96,12405.87
2020-08-22 00:03:12.331135,30,3773324,7672396,12.58,25.57,8128.66,21085.50,29214.16
2020-08-22 00:03:42.334592,30,7078772,10097412,23.60,33.66,24605.92,30534.93,55140.85
2020-08-22 00:04:12.338007,30,6638540,10105272,22.13,33.68,21565.87,33679.95,55245.81
2020-08-22 00:04:42.341063,30,2678548,5235628,8.93,17.45,5123.45,8641.91,13765.35
2020-08-22 00:05:12.360071,30,6105124,10139668,20.35,33.80,18279.80,37426.98,55706.79
2020-08-22 00:05:42.363436,30,6198528,10265592,20.66,34.22,18825.22,38593.46,57418.68
2020-08-22 00:06:12.366747,30,7216152,10820364,24.05,36.07,25618.95,39806.03,65424.98
2020-08-22 00:06:42.385195,30,3443660,6429288,11.48,21.43,7132.68,13093.98,20226.66
2020-08-22 00:07:12.388673,30,6336212,10461728,21.12,34.87,19652.04,40509.72,60161.76
2020-08-22 00:07:42.392119,30,8635724,12650024,28.79,42.17,38058.12,59583.89,97642.01
2020-08-22 00:08:12.395446,30,6145456,9947312,20.48,33.16,18513.79,34651.16,53164.96
2020-08-22 00:08:42.398383,30,649216,2643916,2.16,8.81,1119.28,3921.94,5041.22
2020-08-22 00:09:12.401365,30,2303380,5279492,7.68,17.60,4267.01,9703.08,13970.10
2020-08-22 00:09:42.420085,30,8144820,12050416,27.15,40.17,33330.05,52717.80,86047.85
2020-08-22 00:10:12.423518,30,7135112,10823924,23.78,36.08,25017.57,40461.30,65478.87
2020-08-22 00:10:42.426344,30,739956,2951720,2.47,9.84,1276.60,4520.21,5796.81
2020-08-22 00:11:12.429450,30,2907992,5644512,9.69,18.82,5685.95,10079.96,15765.92
2020-08-22 00:11:42.432630,30,4498844,7852148,15.00,26.17,10653.69,20078.01,30731.70
2020-08-22 00:12:12.436069,30,3555872,6357488,11.85,21.19,7462.02,12320.25,19782.27
2020-08-22 00:12:42.438990,30,1446332,3514144,4.82,11.71,2542.53,4795.88,7338.41
2020-08-22 00:13:12.457555,30,2958616,5838788,9.86,19.46,5814.40,10976.92,16791.32
2020-08-22 00:13:42.460887,30,3676320,7374136,12.25,24.58,7826.53,18996.58,26823.11
2020-08-22 00:14:12.464164,30,3321964,7731272,11.07,25.77,6786.28,22918.48,29704.76
2020-08-22 00:14:42.467420,30,5120020,8522916,17.07,28.41,13236.67,23692.80,36929.47
2020-08-22 00:15:12.470520,30,7816256,12053008,26.05,40.18,30423.99,55671.73,86095.72
2020-08-22 00:15:42.489376,30,8650868,12424620,28.84,41.42,38211.60,54947.96,93159.56
2020-08-22 00:16:12.492638,30,6829488,10704788,22.76,35.68,22846.64,40846.76,63693.40
2020-08-22 00:16:42.495951,30,3789852,7022656,12.63,23.41,8180.92,16020.19,24201.12
2020-08-22 00:17:12.514776,30,7832064,12175652,26.11,40.59,30559.22,57823.45,88382.67
2020-08-22 00:17:42.518349,30,8487484,12650188,28.29,42.17,36580.21,61065.18,97645.39
2020-08-22 00:18:12.521641,30,7061380,11048416,23.54,36.83,24479.91,44462.38,68942.29
2020-08-22 00:18:42.524721,30,1237440,3519132,4.12,11.73,2158.06,5195.06,7353.12
