dateTime,valid,binCount0,binCount1,binCount2,binCount3,binCount4,binCount5,binCount6,binCount7,binCount8,binCount9,binCount10,binCount11,binCount12,binCount13,binCount14,binCount15,bin1TimeToCross,bin3TimeToCross,bin5TimeToCross,bin7TimeToCross,sampleFlowRate,temperatureOrPressure,samplingPeriod,checkSum,pm1,pm2_5,pm10
2020-08-22 09:03:43.179526,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.70,10000,10.52,8,0.44,0.32,0.42
2020-08-22 09:03:53.221960,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.70,10000,10.02,8,1.16,0.55,1.07
2020-08-22 09:04:03.248934,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3.70,10000,10.02,10,0.71,0.49,0.67
2020-08-22 09:04:13.275474,1,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3.70,10000,10.02,14,1.38,0.72,1.28
2020-08-22 09:04:23.317914,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.70,10000,10.02,10,1.58,0.62,1.46
2020-08-22 09:04:33.344867,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.70,10000,10.02,7,0.24,0.19,0.23
2020-08-22 09:04:43.387299,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.70,10000,10.02,16,1.03,0.72,0.98
2020-08-22 09:04:53.414411,1,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.70,10000,10.02,14,7.50,0.63,5.13
2020-08-22 09:05:03.441383,1,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,0,3.70,10000,10.02,11,2.78,0.74,2.42
2020-08-22 09:05:13.483764,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3.70,10000,10.02,13,0.67,0.49,0.63
2020-08-22 09:05:23.510708,1,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.70,10000,10.02,11,1.42,0.72,1.32
2020-08-22 09:05:33.553280,1,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,30,0,0,3.70,10000,10.02,14,2.43,0.55,2.10
2020-08-22 09:05:43.580296,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.70,10000,10.02,10,1.09,0.52,1.02
2020-08-22 09:05:53.622675,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.70,10000,10.02,7,0.73,0.29,0.67
2020-08-22 09:06:03.649713,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,3.70,10000,10.02,12,0.75,0.53,0.71
2020-08-22 09:06:13.691661,1,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,3.70,10000,10.02,13,2.90,0.63,2.52
2020-08-22 09:06:23.734458,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3.70,10000,10.03,12,1.13,0.56,1.05
2020-08-22 09:06:33.761432,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.70,10000,10.02,6,0.32,0.23,0.31
2020-08-22 09:06:43.788414,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.70,10000,10.02,14,0.99,0.68,0.94
2020-08-22 09:06:53.830848,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.70,10000,10.02,11,0.73,0.51,0.69
2020-08-22 09:07:03.857852,1,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,29,0,0,3.70,10000,10.02,14,3.20,0.62,2.79
2020-08-22 09:07:13.900225,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.70,10000,10.02,7,6.48,0.37,4.21
2020-08-22 09:07:23.927178,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.70,10000,10.02,9,1.07,0.51,1.00
2020-08-22 09:07:33.954232,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3.70,10000,10.02,9,0.77,0.33,0.71
2020-08-22 09:07:43.997074,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.70,10000,10.03,7,0.44,0.31,0.42
2020-08-22 09:07:54.039440,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.70,10000,10.02,10,0.30,0.25,0.29
2020-08-22 09:08:04.066497,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.70,10000,10.02,9,0.28,0.23,0.27
2020-08-22 09:08:14.108777,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.70,10000,10.03,8,1.34,0.46,1.23
2020-08-22 09:08:24.151493,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.70,10000,10.03,11,1.32,0.66,1.22
2020-08-22 09:08:34.193900,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3.70,10000,10.02,11,0.83,0.57,0.78
2020-08-22 09:08:44.220891,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.70,10000,10.02,13,0.67,0.49,0.63
2020-08-22 09:08:54.263299,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,28,0,0,3.70,10000,10.02,7,3.06,0.49,2.66
2020-08-22 09:09:04.306330,1,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,29,0,0,3.70,10000,10.03,14,8.46,0.61,5.88
2020-08-22 09:09:14.333296,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.70,10000,10.02,12,1.24,0.62,1.15
2020-08-22 09:09:24.375699,1,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,27,0,0,3.70,10000,10.02,10,2.25,0.42,1.93
2020-08-22 09:09:34.402746,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,3.70,10000,10.02,11,4.60,0.64,3.93
2020-08-22 09:09:44.461096,1,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,51,0,0,3.70,10000,10.03,14,2.61,0.47,2.26
2020-08-22 09:09:54.488033,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3.70,10000,10.02,9,1.46,0.54,1.34
2020-08-22 09:10:04.515087,1,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,3.70,10000,10.02,10,3.04,0.69,2.66
2020-08-22 09:10:14.572809,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3.70,10000,10.03,11,1.21,0.60,1.13
2020-08-22 09:10:24.615672,1,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3.70,10000,10.03,14,1.38,0.72,1.28
2020-08-22 09:10:34.642626,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.02,6,0.61,0.21,0.56
2020-08-22 09:10:44.685588,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.70,10000,10.03,6,0.22,0.17,0.21
2020-08-22 09:10:54.744055,1,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,18,29,0,0,3.70,10000,10.03,12,10.55,0.65,7.64
2020-08-22 09:11:04.786817,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.70,10000,10.03,8,0.57,0.39,0.54
2020-08-22 09:11:14.829743,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3.70,10000,10.03,8,0.36,0.27,0.35
2020-08-22 09:11:24.856838,1,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.70,10000,10.02,13,1.85,0.80,1.71
2020-08-22 09:11:34.899682,1,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.70,10000,10.03,14,1.86,0.81,1.72
2020-08-22 09:11:44.957990,1,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.70,10000,10.03,12,6.58,0.46,4.30
2020-08-22 09:11:55.001107,1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.70,10000,10.04,13,1.36,0.70,1.26
2020-08-22 09:12:05.044106,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.70,10000,10.04,7,0.55,0.37,0.52
